NBA REGULAR SEASON STANDINGS AS ON: Sat Feb  4 12:08:17 2017

Eastern Conference

Eastern     W      L      PCT     GB     CONF     DIV     HOME     ROAD     L 10     STREAK     
Miami1e     66     16     0.805     0.0     41-11     15-1     37-4     29-12     9-1     W 8     
New York2a     54     28     0.659     12.0     37-15     10-6     31-10     23-18     8-2     W 1     
Indiana3c     49     32     0.605     16.5     31-20     13-3     30-11     19-21     5-5     L 3     
Brooklyn4x     49     33     0.598     17.0     36-16     11-5     26-15     23-18     7-3     W 2     
Chicago5x     45     37     0.549     21.0     34-18     9-7     24-17     21-20     5-5     W 2     
Atlanta6x     44     38     0.537     22.0     29-23     11-5     25-16     19-22     4-6     L 2     
Boston7x     41     40     0.506     24.5     27-24     7-9     27-13     14-27     4-6     L 1     
Milwaukee8x     38     44     0.463     28.0     24-28     7-9     21-20     17-24     3-7     W 1     
Philadelphiao     34     48     0.415     32.0     22-30     7-9     23-18     11-30     5-5     W 1     
Torontoo     34     48     0.415     32.0     22-30     5-11     21-20     13-28     7-3     W 5     
Detroito     29     53     0.354     37.0     25-27     8-8     18-23     11-30     5-5     L 1     
Washingtono     29     53     0.354     37.0     15-37     5-11     22-19     7-34     3-7     L 6     
Clevelando     24     58     0.293     42.0     18-34     3-13     14-27     10-31     2-8     L 6     
Charlotteo     21     61     0.256     45.0     18-34     6-10     15-26     6-35     4-6     W 3     
Orlandoo     20     62     0.244     46.0     10-42     3-13     12-29     8-33     2-8     L 3     Western Conference


Western Conference     
Western     W      L      PCT     GB     CONF     DIV     HOME     ROAD     L 10     STREAK     
Oklahoma City1w     60     22     0.732     0.0     39-13     10-6     34-7     26-15     7-3     L 1     
San Antonio2sw     58     24     0.707     2.0     33-19     12-4     35-6     23-18     3-7     L 3     
Denver3x     57     25     0.695     3.0     38-14     11-5     38-3     19-22     8-2     W 3     
L.A. Clippers4p     56     26     0.683     4.0     35-17     11-5     32-9     24-17     7-3     W 7     
Memphis5x     56     26     0.683     4.0     34-18     10-6     32-9     24-17     8-2     W 2     
Golden State6x     47     35     0.573     13.0     28-24     9-7     28-13     19-22     6-4     W 2     
L.A. Lakers7x     45     37     0.549     15.0     28-24     8-8     29-12     16-25     8-2     W 5     
Houston8x     45     37     0.549     15.0     24-28     6-10     29-12     16-25     6-4     L 2     
Utaho     43     39     0.524     17.0     26-26     9-7     30-11     13-28     7-3     L 1     
Dallaso     41     41     0.500     19.0     24-28     7-9     24-17     17-24     6-4     W 1     
Portlando     33     49     0.402     27.0     18-34     6-10     22-19     11-30     0-10     L 13     
Minnesotao     31     51     0.378     29.0     17-35     4-12     20-21     11-30     5-5     W 1     
Sacramentoo     28     54     0.341     32.0     14-38     7-9     20-21     8-33     2-8     L 4     
New Orleanso     27     55     0.329     33.0     15-37     5-11     16-25     11-30     2-8     L 5     
Phoenixo     25     57     0.305     35.0     17-35     5-11     17-24     8-33     2-8     L 1     
